Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Juliana Rocha,1980-08-09,386.450.971-84,72803,Vendedor,facere,2024-01-28,2024-01-15,23,D0064,itaque,2024-04-21,17163-P,Yago Castro,Monteiro,ambulatorial,afastamento parcial,não,perícia,repouso,2024-03-02,2024-04-20,3,19:22:43,Estatutário,2024-01-06,2024-04-20,efetivo,At autem nihil animi nesciunt soluta voluptatum.,aprovado
Cauê Rodrigues,1976-10-16,490.527.361-70,76857,Gestor de qualidade,optio,2024-04-01,2024-05-16,4,D0065,tempore,2024-04-25,49854-P,Pedro Freitas,da Rosa,ambulatorial,afastamento parcial,não,consulta,outro,2024-01-02,2024-05-04,3,04:54:22,Estatutário,2024-02-29,2024-04-02,efetivo,Rem quidem dicta nam nulla.,rejeitado
Caio Rocha,1999-12-14,853.697.420-65,128,Engenheiro naval,laborum,2024-02-08,2024-04-25,9,A0061,modi,2024-04-19,77161-P,João Guilherme Campos,Viana Ltda.,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-04-03,2024-01-21,1,10:41:44,Estatutário,2024-04-18,2024-03-13,efetivo,Deleniti expedita debitis deserunt commodi.,rejeitado
André Costa,2001-09-08,617.450.293-70,53820,Corregedor de justiça,dolorem,2024-06-03,2024-05-04,20,C0066,non,2024-01-22,66029-P,Ana Clara Rocha,Ferreira Ltda.,internação,afastamento total,sim,consulta,outro,2024-01-18,2024-03-18,3,17:37:04,CLT,2024-02-03,2024-02-03,temporário,Eligendi inventore voluptatibus molestias voluptatem facere totam.,pendente
João Miguel da Rocha,1996-10-02,541.903.687-84,6335,Bombeiro,omnis,2024-01-09,2024-03-16,28,D0055,nobis,2024-02-03,65366-P,Ana Luiza Oliveira,Martins da Costa e Filhos,ambulatorial,afastamento total,sim,perícia,outro,2024-04-16,2024-02-25,0,15:13:52,Estatutário,2024-03-13,2024-03-19,temporário,Recusandae tempore numquam non tempore exercitationem adipisci soluta.,aprovado
Cauã Dias,2002-10-10,295.860.734-83,76941,Médico,nam,2024-04-29,2024-03-02,28,C0065,blanditiis,2024-04-20,26953-S,Esther Correia,Araújo,ambulatorial,afastamento total,não,perícia,repouso,2024-03-25,2024-04-21,1,01:32:39,CLT,2024-01-27,2024-02-11,efetivo,Voluptatibus quidem pariatur voluptatum quis maxime.,aprovado
Caroline Cavalcanti,1996-01-20,847.051.629-94,91073,Engenheiro de minas,numquam,2024-01-10,2024-03-02,5,D0097,nostrum,2024-02-01,28089-P,Dra. Marina Silveira,Souza,internação,afastamento total,não,perícia,medicação,2024-05-16,2024-06-10,2,15:36:30,Estatutário,2024-04-25,2024-01-14,efetivo,Assumenda distinctio accusamus vel.,rejeitado
Noah Pinto,1998-06-11,863.259.741-82,27439,Cobaia Médica,tenetur,2024-03-16,2024-04-07,29,D0015,autem,2024-03-04,89763-S,Thales Cardoso,Moraes,internação,afastamento total,sim,consulta,outro,2024-05-20,2024-03-15,1,13:53:32,Estatutário,2024-03-31,2024-01-01,temporário,Occaecati blanditiis aut harum reiciendis molestias.,rejeitado
Ana Sophia Oliveira,1961-03-16,150.894.632-98,12453,Biólogo,magnam,2024-06-17,2024-04-03,3,D0088,ipsam,2024-01-15,61386-P,Vitória Almeida,Melo Nogueira S/A,internação,afastamento parcial,sim,perícia,repouso,2024-03-19,2024-03-11,2,20:27:27,Estatutário,2024-01-13,2024-03-10,temporário,Excepturi corrupti cupiditate.,pendente
Raquel Cardoso,1980-05-17,783.612.059-77,19504,Gandula,facere,2024-05-24,2024-04-26,5,A0011,atque,2024-02-22,40897-P,Dr. Vitor Gabriel Rezende,das Neves,ambulatorial,afastamento parcial,não,consulta,repouso,2024-01-17,2024-03-09,2,05:57:10,Estatutário,2024-01-28,2024-05-17,efetivo,Maiores vitae maxime provident facilis repudiandae.,aprovado
Isis Teixeira,1964-10-21,027.895.614-94,70413,Árbitro e mediador,nostrum,2024-04-02,2024-04-27,3,C003,repudiandae,2024-02-01,81472-P,Alice Araújo,Melo Dias e Filhos,ambulatorial,afastamento parcial,sim,consulta,outro,2024-04-25,2024-03-20,1,01:36:42,CLT,2024-03-01,2024-03-28,efetivo,Soluta perferendis deserunt molestiae.,aprovado
Joaquim Melo,1975-06-28,406.379.518-75,71853,Pedagogo,eaque,2024-05-04,2024-01-27,6,B0021,facere,2024-02-09,90923-S,Larissa Gomes,Cardoso,internação,afastamento total,não,perícia,medicação,2024-03-09,2024-02-23,4,07:29:12,Estatutário,2024-04-26,2024-04-30,efetivo,Voluptas nesciunt eius mollitia corporis architecto.,pendente
Pietro Pinto,1962-11-16,359.614.027-70,39022,Velejador,delectus,2024-05-04,2024-03-31,13,C0085,consectetur,2024-03-17,26581-P,Matheus Dias,Silveira,internação,afastamento total,sim,consulta,repouso,2024-03-20,2024-01-06,3,12:05:51,CLT,2024-05-09,2024-04-17,efetivo,Tempore porro ex.,aprovado
Matheus Barbosa,2002-03-01,032.894.576-56,12532,Quiropraxista,adipisci,2024-01-31,2024-02-06,24,D000,consectetur,2024-01-27,59481-P,Sra. Gabriela Correia,Pereira e Filhos,ambulatorial,afastamento total,não,consulta,medicação,2024-05-15,2024-01-24,3,08:07:11,Estatutário,2024-02-20,2024-03-20,efetivo,Consequatur ipsa velit in laboriosam ullam laboriosam.,aprovado
Enzo Barros,1960-06-26,829.407.356-38,25664,Corretor de seguros,vel,2024-01-28,2024-04-18,10,C0034,voluptatibus,2024-05-19,53026-P,Fernando Pereira,Mendes Carvalho e Filhos,ambulatorial,afastamento total,não,consulta,outro,2024-05-08,2024-02-25,3,13:36:03,CLT,2024-03-02,2024-03-11,temporário,Hic vel praesentium autem sed.,rejeitado
Gustavo Henrique da Mata,1998-10-31,453.620.978-65,70806,Escrivão,numquam,2024-04-11,2024-01-17,29,D0082,exercitationem,2024-01-21,23540-S,Vitor Hugo Oliveira,Moraes,internação,afastamento parcial,não,consulta,outro,2024-04-10,2024-02-15,4,03:21:27,Estatutário,2024-04-27,2024-02-01,efetivo,Maiores porro blanditiis quam eligendi.,pendente
Ana Sophia Pereira,1983-09-19,590.381.742-41,61293,Gestor público,eius,2024-01-12,2024-03-19,25,C0061,dolorum,2024-03-06,16137-P,Vinicius das Neves,Costa,ambulatorial,afastamento parcial,não,perícia,medicação,2024-02-29,2024-05-21,4,08:00:19,CLT,2024-02-09,2024-05-28,temporário,Sed ipsum iure praesentium similique quibusdam odio eos.,aprovado
Agatha Aragão,1976-05-01,018.643.257-71,34860,Oceanógrafo,sunt,2024-04-27,2024-02-23,18,A0022,dolore,2024-02-11,13392-S,Ana Beatriz das Neves,Almeida S/A,internação,afastamento parcial,sim,perícia,repouso,2024-04-19,2024-03-09,2,11:29:49,CLT,2024-03-21,2024-05-11,efetivo,Architecto quas porro qui.,rejeitado
Lucca Porto,1959-05-18,406.392.875-65,6295,Assistente de direção,et,2024-05-11,2024-06-17,11,C0052,eveniet,2024-03-03,11636-P,Ana Sophia Pinto,da Paz,internação,afastamento parcial,não,consulta,medicação,2024-04-02,2024-01-08,3,06:35:12,Estatutário,2024-03-23,2024-01-11,temporário,Sed explicabo reprehenderit exercitationem.,aprovado
Maria Vitória da Luz,2005-06-07,613.527.908-40,61952,Aviador,sapiente,2024-04-19,2024-02-17,11,B0041,repellat,2024-04-08,41596-S,Dr. Levi Ramos,Duarte,ambulatorial,afastamento total,não,consulta,medicação,2024-01-04,2024-03-14,0,04:38:05,Estatutário,2024-03-15,2024-03-23,efetivo,Laborum molestiae possimus adipisci.,rejeitado
Luiz Gustavo Gonçalves,1970-07-29,814.670.295-30,83595,Oficial de justiça,nesciunt,2024-05-03,2024-03-09,7,A0094,fugit,2024-05-23,82605-S,Juliana Freitas,Caldeira - EI,ambulatorial,afastamento total,não,consulta,repouso,2024-01-07,2024-02-21,1,11:11:05,Estatutário,2024-01-25,2024-04-11,efetivo,Iure voluptas corrupti consequatur quibusdam deleniti.,aprovado
Daniel da Cunha,1986-09-16,351.746.908-48,25317,Inspetor,explicabo,2024-04-10,2024-04-11,22,B0036,quasi,2024-01-07,26261-P,Rafaela Teixeira,Nogueira Santos - ME,ambulatorial,afastamento total,sim,consulta,medicação,2024-04-07,2024-02-05,5,11:55:32,CLT,2024-05-19,2024-04-17,efetivo,Blanditiis quia consequuntur consequuntur nam.,rejeitado
Sr. Carlos Eduardo da Paz,1969-06-15,814.032.975-41,48998,Telefonista,at,2024-06-09,2024-02-02,22,C0092,amet,2024-06-15,56304-S,Cauã Carvalho,Campos Oliveira S/A,ambulatorial,afastamento total,não,consulta,medicação,2024-04-19,2024-04-01,5,05:24:39,CLT,2024-05-11,2024-02-03,efetivo,Alias animi nihil ipsam.,pendente
Marina das Neves,1958-07-23,523.709.164-43,15328,Comissário de bordo,eligendi,2024-04-08,2024-06-10,2,C0014,nihil,2024-01-15,77774-S,Emilly da Rocha,Fernandes,internação,afastamento total,não,consulta,outro,2024-01-23,2024-01-31,5,08:03:42,CLT,2024-05-29,2024-01-13,temporário,Minima cupiditate iste repellendus eligendi cumque odio voluptates.,rejeitado
Luiz Miguel Caldeira,1966-02-26,934.680.512-98,98638,Dançarino,sint,2024-04-27,2024-01-12,9,B0019,quisquam,2024-03-20,43667-S,Pietro Porto,Jesus,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-05-01,2024-01-31,5,15:08:08,CLT,2024-03-18,2024-03-11,efetivo,Eaque commodi impedit dolores.,aprovado
Sofia Porto,1980-08-29,597.842.301-60,36177,Ferramenteiro,blanditiis,2024-03-27,2024-04-28,8,B0071,repellat,2024-02-08,18945-S,Benício Dias,Cunha - ME,ambulatorial,afastamento parcial,não,consulta,repouso,2024-06-05,2024-02-25,1,16:02:58,Estatutário,2024-02-01,2024-05-07,temporário,Maiores ratione deserunt illum.,pendente
Miguel Martins,2000-12-30,593.640.712-80,62585,Artista/Técnico em espetáculos de diversões,officia,2024-04-16,2024-04-07,15,B004,consectetur,2024-01-05,63426-S,Luna Alves,Farias Cavalcanti S/A,ambulatorial,afastamento total,sim,perícia,outro,2024-04-16,2024-06-13,4,04:12:28,CLT,2024-03-27,2024-02-08,temporário,Dicta incidunt velit a harum.,pendente
Letícia Vieira,1989-10-23,819.354.270-32,89123,Cartazeiro,voluptates,2024-04-19,2024-05-27,11,A0026,quos,2024-02-10,99441-S,Stella Cardoso,da Conceição,ambulatorial,afastamento parcial,sim,perícia,outro,2024-04-09,2024-04-21,4,05:55:43,CLT,2024-02-15,2024-06-11,efetivo,Commodi similique labore facere.,rejeitado
Luiz Miguel Moura,1971-05-15,428.793.105-04,81227,Tradutor,laboriosam,2024-03-05,2024-04-16,22,D0037,harum,2024-01-13,39171-P,Dra. Joana Ribeiro,Moraes,ambulatorial,afastamento parcial,não,consulta,repouso,2024-01-15,2024-01-04,2,13:17:17,CLT,2024-05-30,2024-05-03,temporário,Quod provident itaque magni sed harum ducimus.,aprovado
Carlos Eduardo Viana,1998-11-01,657.319.048-39,14435,Cientista da informação e documentação,earum,2024-01-19,2024-02-15,1,B0035,ipsa,2024-06-13,33121-P,Luiz Miguel Rezende,Barros,internação,afastamento parcial,sim,perícia,medicação,2024-03-22,2024-01-11,4,01:18:09,CLT,2024-03-22,2024-03-01,efetivo,Ducimus aliquam accusantium odio fuga perferendis.,pendente
Bárbara Fogaça,1971-05-28,892.574.163-64,49996,Estampador de tecidos,maiores,2024-01-11,2024-04-07,29,A0073,numquam,2024-01-29,67080-S,Mirella Cardoso,Moreira,internação,afastamento total,sim,perícia,repouso,2024-03-08,2024-01-11,3,22:31:18,CLT,2024-02-11,2024-05-30,efetivo,Harum at praesentium dicta aliquam asperiores.,pendente
Marcos Vinicius Nascimento,1994-03-13,924.780.315-23,54133,Policial federal,tempore,2024-03-23,2024-04-25,27,B0026,porro,2024-01-18,24282-S,Ryan Rodrigues,Araújo,ambulatorial,afastamento total,sim,perícia,outro,2024-05-21,2024-01-31,1,18:31:09,Estatutário,2024-01-21,2024-06-16,efetivo,Culpa commodi delectus nisi velit.,pendente
Sr. Noah Jesus,1979-10-21,193.865.470-66,3419,Instrumentista musical,explicabo,2024-04-09,2024-02-12,30,D003,dignissimos,2024-01-16,61378-S,Srta. Maria Fernanda Azevedo,Pinto Mendes - EI,ambulatorial,afastamento total,não,perícia,medicação,2024-03-14,2024-02-26,3,23:45:11,CLT,2024-01-26,2024-05-02,efetivo,Modi blanditiis alias distinctio aliquam.,aprovado
Luana Monteiro,1990-12-12,182.645.970-76,54329,Seguidor de compras,quas,2024-03-16,2024-04-27,24,B0055,perspiciatis,2024-03-25,69630-P,Caio Barros,Novaes Almeida e Filhos,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-04-20,2024-04-27,1,09:51:30,CLT,2024-04-13,2024-05-23,efetivo,Recusandae id ipsa quaerat.,rejeitado
Paulo Gomes,1974-07-01,357.184.609-57,43982,Lavador,repudiandae,2024-03-14,2024-06-10,2,D0058,dolores,2024-03-19,65337-P,Felipe Costela,Alves - ME,ambulatorial,afastamento parcial,não,perícia,outro,2024-04-19,2024-04-12,2,07:08:06,CLT,2024-03-27,2024-02-10,temporário,Nobis nesciunt porro eius mollitia exercitationem.,pendente
Enrico Silva,1991-03-25,418.327.695-00,82603,Árbitro e mediador,temporibus,2024-02-28,2024-04-13,24,D0037,doloribus,2024-01-26,60882-S,Rafaela Souza,Sales,ambulatorial,afastamento parcial,não,perícia,repouso,2024-01-19,2024-02-17,0,10:32:51,Estatutário,2024-05-26,2024-05-23,temporário,Cum itaque veritatis molestiae quos.,rejeitado
Enzo Cardoso,1994-06-05,641.307.598-84,84491,Geradorista,nobis,2024-03-30,2024-06-13,23,C0049,rerum,2024-03-06,67017-P,Pietra da Cunha,da Mata e Filhos,internação,afastamento parcial,não,perícia,outro,2024-02-16,2024-05-17,3,17:18:42,CLT,2024-05-23,2024-06-07,temporário,Aperiam perferendis nostrum voluptate.,aprovado
Fernanda da Cunha,1997-12-03,492.168.753-64,56291,Carteiro,eius,2024-03-03,2024-06-13,9,C0018,facilis,2024-02-08,71532-P,Ana Carolina Castro,Moreira,ambulatorial,afastamento total,não,perícia,medicação,2024-02-10,2024-01-26,4,04:48:34,Estatutário,2024-03-01,2024-06-17,temporário,Eos iure eum repellendus nam dignissimos nulla.,rejeitado
Enzo Campos,1996-09-15,916.438.025-42,30031,Operador de vídeo,suscipit,2024-04-02,2024-03-15,29,D006,possimus,2024-02-24,46663-P,João Miguel Moreira,Dias e Filhos,internação,afastamento parcial,sim,consulta,medicação,2024-03-22,2024-03-17,4,07:23:35,Estatutário,2024-02-02,2024-01-27,efetivo,Cum nostrum iste vero nemo.,rejeitado
Vitória Pires,1963-09-21,627.184.395-64,6050,Radiologista,iure,2024-01-18,2024-03-25,1,A0052,possimus,2024-01-29,73606-S,Nicole Teixeira,Fogaça,ambulatorial,afastamento total,não,perícia,outro,2024-05-24,2024-01-21,3,20:50:59,Estatutário,2024-04-19,2024-05-30,temporário,Nobis voluptatem ipsa dolorem incidunt excepturi.,rejeitado
Danilo Costela,1963-05-12,265.893.417-37,89915,Oftalmologista,laboriosam,2024-03-13,2024-06-10,5,C0070,quod,2024-06-06,24110-P,Paulo Santos,Cunha Ltda.,internação,afastamento total,não,perícia,medicação,2024-05-13,2024-02-24,4,16:56:10,Estatutário,2024-03-18,2024-03-08,temporário,Repudiandae veritatis deleniti officiis quis.,rejeitado
Caio Porto,1971-03-23,271.940.536-16,63995,Lapidário,magni,2024-04-16,2024-05-22,10,B0013,eos,2024-02-22,78574-P,Joaquim Fernandes,Caldeira Melo e Filhos,internação,afastamento parcial,não,perícia,outro,2024-05-02,2024-04-04,2,19:34:19,Estatutário,2024-02-12,2024-03-29,temporário,Dicta repudiandae veniam voluptas cupiditate error.,pendente
Ana Vitória Duarte,1998-04-29,509.413.687-93,71739,Headhunter,soluta,2024-05-14,2024-05-02,23,C0083,ducimus,2024-01-06,80436-P,Luiz Fernando Moreira,Santos Rezende S/A,ambulatorial,afastamento total,sim,perícia,repouso,2024-05-19,2024-03-21,2,12:51:49,Estatutário,2024-04-17,2024-03-12,temporário,Ullam iure ducimus ea ipsam veritatis.,pendente
Pedro Miguel Souza,1971-09-28,432.965.871-28,67370,Artesão,sit,2024-05-08,2024-04-10,20,C0077,quidem,2024-05-03,84378-S,Clarice Monteiro,Alves - ME,ambulatorial,afastamento parcial,não,perícia,outro,2024-04-30,2024-02-06,3,12:12:42,Estatutário,2024-06-16,2024-05-31,temporário,Officiis exercitationem commodi amet.,aprovado
Lucas Gabriel da Rocha,1999-12-29,581.379.206-68,30661,Engenheiro florestal,dicta,2024-05-23,2024-02-18,16,D0010,iure,2024-04-12,73185-P,Bruno Melo,Lima Peixoto S/A,internação,afastamento total,não,perícia,outro,2024-03-10,2024-04-23,4,15:39:13,Estatutário,2024-02-26,2024-05-07,efetivo,Atque consequuntur culpa perspiciatis cumque necessitatibus laboriosam non.,pendente
Sr. Yuri Melo,1972-06-26,895.106.724-67,34859,Cartazeiro,laudantium,2024-02-06,2024-01-28,10,A0041,labore,2024-06-16,23889-S,Guilherme Teixeira,Araújo,ambulatorial,afastamento total,sim,consulta,outro,2024-03-01,2024-03-17,1,17:07:31,Estatutário,2024-06-01,2024-05-28,temporário,Totam sequi commodi accusamus quas.,rejeitado
Mariane Caldeira,1995-04-18,418.237.659-55,11418,Engenheiro cartográfico,tenetur,2024-05-12,2024-05-28,4,B0062,perspiciatis,2024-02-08,82461-S,Maitê da Conceição,Monteiro e Filhos,ambulatorial,afastamento parcial,não,consulta,medicação,2024-01-02,2024-04-22,1,21:56:17,Estatutário,2024-03-24,2024-02-29,temporário,Exercitationem impedit iure magnam neque libero.,aprovado
Davi Costela,1979-10-05,958.021.734-32,74582,Radioterapêutico,omnis,2024-02-13,2024-03-17,20,B0065,a,2024-03-19,49573-S,Matheus Rodrigues,Farias,internação,afastamento parcial,não,perícia,medicação,2024-06-14,2024-03-06,4,10:37:07,CLT,2024-02-08,2024-04-02,efetivo,Fugiat sapiente consequatur perspiciatis blanditiis.,pendente
Kaique Moreira,1968-11-08,307.965.824-83,75092,Piloto automobilístico,perspiciatis,2024-01-13,2024-03-02,28,A0028,similique,2024-02-19,16940-S,Camila Barbosa,Dias,ambulatorial,afastamento total,não,perícia,repouso,2024-05-07,2024-06-03,2,00:19:03,Estatutário,2024-04-04,2024-02-27,efetivo,Vitae non eos neque aperiam aperiam.,aprovado
Emanuel Ramos,1978-06-10,039.512.864-15,9842,Almoxarife,ab,2024-05-10,2024-02-23,10,D0028,quod,2024-04-21,42234-S,Raul da Paz,Freitas,internação,afastamento total,não,perícia,repouso,2024-05-15,2024-02-28,1,07:03:17,Estatutário,2024-05-07,2024-04-01,efetivo,Recusandae omnis illum.,aprovado
Augusto Barbosa,1992-05-19,763.048.219-13,67923,Engenheiro de telecomunicações,harum,2024-02-07,2024-05-04,1,C0056,earum,2024-03-18,28771-P,Brenda Duarte,Fernandes,ambulatorial,afastamento parcial,não,consulta,medicação,2024-05-30,2024-04-27,3,00:21:09,Estatutário,2024-02-27,2024-04-14,temporário,Nisi rem ipsam illo voluptates dolorum eligendi.,pendente
Sr. Enzo da Rosa,1992-01-01,017.823.694-22,25532,Profissional de recursos humanos,dicta,2024-03-11,2024-01-10,16,B0023,ipsam,2024-04-12,76306-S,Rodrigo da Mata,Sales,ambulatorial,afastamento parcial,não,consulta,outro,2024-01-17,2024-05-05,2,05:21:25,Estatutário,2024-03-04,2024-02-17,efetivo,Perspiciatis quod harum.,rejeitado
Benjamin Gomes,1997-09-29,374.905.812-14,84099,Lixeiro/Coletor de lixo,dolorem,2024-02-15,2024-01-28,30,B0080,perspiciatis,2024-01-02,93259-P,Gustavo Henrique Peixoto,Pinto,internação,afastamento total,sim,perícia,medicação,2024-04-28,2024-03-22,5,22:55:56,Estatutário,2024-01-15,2024-05-07,efetivo,Earum explicabo minima voluptatum fugit exercitationem amet perferendis.,rejeitado
Dr. Enzo Pereira,2004-06-18,493.065.128-05,35054,Representante comercial,ipsa,2024-02-11,2024-05-05,10,D0055,ut,2024-02-12,28877-P,Dr. Gabriel Farias,Ferreira da Luz - EI,ambulatorial,afastamento parcial,sim,consulta,outro,2024-01-02,2024-05-25,0,00:29:34,CLT,2024-04-17,2024-04-10,efetivo,Esse odit perferendis vero cupiditate atque.,aprovado
João Miguel Silva,1972-12-26,569.481.307-39,47511,Empacotador,odit,2024-01-20,2024-03-07,21,A0044,expedita,2024-03-15,97190-S,Gustavo Aragão,Rocha e Filhos,ambulatorial,afastamento total,não,consulta,outro,2024-05-12,2024-04-29,3,01:07:20,CLT,2024-04-28,2024-01-29,efetivo,Expedita deleniti consequuntur nobis.,aprovado
Breno Dias,1993-08-03,196.430.785-66,5970,Pedagogo,voluptatibus,2024-01-16,2024-06-08,8,C0068,commodi,2024-06-13,52882-S,Ana Clara Nascimento,Carvalho,ambulatorial,afastamento parcial,não,perícia,repouso,2024-03-27,2024-04-16,1,14:59:48,CLT,2024-05-07,2024-04-04,efetivo,Maiores amet quaerat sapiente exercitationem iure quos cupiditate.,aprovado
Dra. Camila da Costa,1988-02-21,971.432.506-43,72746,Tintureiro,sapiente,2024-03-21,2024-06-05,19,D0063,veritatis,2024-01-06,16420-P,Bruno Ferreira,Campos,ambulatorial,afastamento total,sim,perícia,repouso,2024-02-01,2024-01-04,0,05:30:00,Estatutário,2024-02-10,2024-02-04,temporário,Architecto modi sapiente asperiores maiores.,pendente
Diogo Rocha,1977-09-09,925.837.641-28,70882,Engenheiro elétrico,aperiam,2024-03-10,2024-05-03,19,D0078,voluptas,2024-03-16,72815-P,Camila Martins,Fogaça Jesus - EI,ambulatorial,afastamento parcial,não,consulta,outro,2024-03-15,2024-04-18,2,06:23:44,Estatutário,2024-03-15,2024-01-07,temporário,Veritatis iste excepturi modi ut totam.,rejeitado
Sr. Noah da Paz,2000-01-30,018.354.296-70,64478,Radioterapêutico,voluptates,2024-02-20,2024-01-12,2,B0051,earum,2024-02-18,44936-S,João Nogueira,Duarte Mendes S/A,internação,afastamento parcial,sim,perícia,repouso,2024-03-30,2024-03-28,2,00:51:47,CLT,2024-04-07,2024-04-13,efetivo,Perspiciatis sunt debitis expedita.,pendente
Lucas Gabriel Cardoso,1965-01-20,379.645.820-38,86614,Panfleteiro,doloremque,2024-02-02,2024-05-05,2,C0036,ut,2024-02-14,29510-P,Srta. Isis Teixeira,Pinto Fogaça S.A.,ambulatorial,afastamento parcial,não,perícia,outro,2024-06-02,2024-05-07,5,20:08:44,Estatutário,2024-06-16,2024-03-27,temporário,Ipsum aut animi omnis.,pendente
Sr. Danilo da Cruz,1998-09-08,258.039.671-30,45866,Geólogo,magni,2024-01-24,2024-01-02,10,A005,consequuntur,2024-03-25,71791-S,Bruno Souza,Vieira,ambulatorial,afastamento total,sim,perícia,repouso,2024-04-11,2024-01-29,4,02:53:11,Estatutário,2024-06-12,2024-02-10,temporário,Earum at perferendis dolore dolorem nihil consequatur.,pendente
